# fs-io-supplier-corpus-v1
# Every annotation is intentionally proposed pending identified human review.
case_id	relative_path	format	quality_tier	source_kind	source_origin	source_revision	source_path	source_object_identity	license_spdx	license_url	content_blake3	expected_outcome	expected_detail	review_state	reviewer	reviewed_at	annotation_revision	justification
adafruit-0258-1200mah-lipo-step	sources/adafruit-0258-1200mah-lipo-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	258 1200mAh lipo/258 1200mAh lipo.step	829f07a8493d53a840334b2cab9fcd3437609ace	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	691589f9dcab52e2bd59a786c79ce16a4352e39cf5304e9e7708e3344929df7b	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-0258-1200mah-lipo-stl	sources/adafruit-0258-1200mah-lipo-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	258 1200mAh lipo/258 1200mAh lipo.stl	823579716c691ab4fa5f83ca990a57d0eefc952b	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	2969fabd08f520c5fe1a53a8af7d82453968c976e779fe988b8aea2f0c553c41	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-2278-rgb-matrix-4mm-step	sources/adafruit-2278-rgb-matrix-4mm-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	2278 RGB Matrix 4mm/2278 RGB Matrix 4mm.step	509544807bc32d94f12dff0c87f7c77c1881f7ce	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	6b03c9ba2b6d2801f175e9437754ca4a07d84f6f16177e0129c174092105ae79	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-2278-rgb-matrix-4mm-stl	sources/adafruit-2278-rgb-matrix-4mm-stl.stl	stl	tessellation-heavy-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	2278 RGB Matrix 4mm/2278 RGB Matrix 4mm.stl	f4b398f266b191c0aa1d4b3c0c17248ee8708a44	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	4a23ce4acd801273ad2773f2c26aeb79b392fcce5cc9a0ed82b0aeec2e1046f3	clean		proposed			0	Initial mesh observation proposal; human receipt review pending.
adafruit-2719-oled-24in-step	sources/adafruit-2719-oled-24in-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	2719 OLED 2.4in/2719 OLED 2.4in.step	e8096437534dff6e41bb053f03ac42b30f9e7dde	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	558d8db0163f35fa0fb9bd1e4836dd3d346e3b27cf42b6997c5c1caaae212b30	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-2719-oled-24in-stl	sources/adafruit-2719-oled-24in-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	2719 OLED 2.4in/2719 OLED 2.4in.stl	76530164662e3ca11c4873e8ac24f53ef7237d62	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	2abdf02c79b0b6de01e73df3aa45f93f1ad2489a0fdad9291ac456b62b476a90	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-3258-microusb-panel-mount-step	sources/adafruit-3258-microusb-panel-mount-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3258 USB Panel Mout Cable/3258 microUSB panel mount.step	6d6734c61bc3b40947d544c2f61da4b6de5a8ca6	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	2567c0667c8dd93ae083a8622d6eaf2d08a27d482dc609a97fc0b141be670558	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-3258-microusb-panel-mount-stl	sources/adafruit-3258-microusb-panel-mount-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3258 USB Panel Mout Cable/3258 microUSB panel mount.stl	ddd6f0d54eba1a15235f05c013eb57d6abd4f949	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	70187f142bdb2d26129583f9dca4de10f74ec6efe4a64689783c5e07b083fdc4	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
adafruit-3898-400mah-battery-step	sources/adafruit-3898-400mah-battery-step.step	step	clean-parametric-export	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3898 400mah Battery/3898 400mAh Battery.step	e5e42a71381bbccf5880eb55df94358c9c91ac14	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	0377d1050522931d3fb76f84636f288c2b62ac9f4ff4cb924f4e59a20b210003	refuse	step-root-missing	proposed			0	Initial strict-faceted STEP observation proposal; human receipt review pending.
adafruit-3898-400mah-battery-stl	sources/adafruit-3898-400mah-battery-stl.stl	stl	known-broken	git	https://github.com/adafruit/Adafruit_CAD_Parts	ab3dfc47c32468ba87e7652556cab25efd906eb0	3898 400mah Battery/3898 400mAh Battery.stl	0a389e2402e608840e09c29020c69b5eaa7395c9	MIT	https://github.com/adafruit/Adafruit_CAD_Parts/blob/ab3dfc47c32468ba87e7652556cab25efd906eb0/LICENSE	682d32ac77678ce2f67a9de44a2da1851de2355b0bdf46b83c9415c9c694c639	refuse	promotion-residual-refused	proposed			0	Observed residual topology refusal proposal; human receipt review pending.
