frankensim.matdb-source.v1
observation	mil698a-table-xv-110	Electrolytic tough pitch copper (CDA alloy number 110), wrought	MIL-HDBK-698A Table XV wrought-alloy physical properties: liquidus/solidus melting points (deg F), density at 68 F (lb/cu in), thermal conductivity at 68 F (Btu/sq ft/ft/hr/F)	Alloy identified in the table by CDA number only (names are not printed in Table XV); K = (F - 32)/1.8 + 273.15; density at 27679.905 (kg/m3)/(lb/in3); thermal conductivity at 1.730735 (W/m/K)/(Btu ft/(hr ft2 F)); a printed density RANGE is carried as two typed scalars (range low/high), never averaged; no uncertainty semantics printed, so runtime uncertainty stays Unstated. Liquidus 1981 F = 1355.93 K agrees with NBS C447 Table 67 elemental copper 1083.2 C = 1356.35 K within 0.5 K (cross-source pin).
scalar	melting-liquidus	mil698a-table-xv-110	melting_point_liquidus	1355.93	K	constant
uncertainty	melting-liquidus	unstated	-	-	-	-
validity	melting-liquidus	temperature	293	293	K
scalar	melting-solidus	mil698a-table-xv-110	melting_point_solidus	1338.15	K	constant
uncertainty	melting-solidus	unstated	-	-	-	-
validity	melting-solidus	temperature	293	293	K
scalar	density-low	mil698a-table-xv-110	density_printed_range_low	8885.2	kg/m3	constant
uncertainty	density-low	unstated	-	-	-	-
validity	density-low	temperature	293	293	K
scalar	density-high	mil698a-table-xv-110	density_printed_range_high	8940.6	kg/m3	constant
uncertainty	density-high	unstated	-	-	-	-
validity	density-high	temperature	293	293	K
scalar	thermal-conductivity	mil698a-table-xv-110	thermal_conductivity	391.1	W/m/K	constant
uncertainty	thermal-conductivity	unstated	-	-	-	-
validity	thermal-conductivity	temperature	293	293	K
