frankensim.matdb-manifest.v3
pack_id	dowfrost-pg50-40-60c
redistribution	permitted	A small selection of attributed numerical facts and original explanatory text only; no source-document, table-layout or prose redistribution license is asserted
citation	The Dow Chemical Company (2007), Engineering and Operating Guide for DOWFROST and DOWFROST HD Inhibited Propylene Glycol-based Heat Transfer Fluids, Tables 10, 14, 18, 22, printed pages 19, 23, 27, 31; https://ingredi.com/content/pdfs/DOWFROST_Manual.pdf
license	Attributed-Numerical-Facts-Only-No-Source-Document-License
source	dowfrost-pg50-guide	properties.tsv	material-tsv-v1
property	density	density	dimensional
property	specific_heat_capacity	specific_heat_capacity	dimensional
property	thermal_conductivity	thermal_conductivity	thermal-conductivity
property	dynamic_viscosity	dynamic_viscosity	dimensional
axis	temperature	temperature	absolute-temperature
axis	propylene_glycol_volume_fraction	propylene-glycol-volume-fraction	dimensional
axis	source_formulation_dowfrost	source-formulation-dowfrost	dimensional
axis	phase_liquid	phase-liquid	dimensional
axis	source_pressure_known	source-pressure-known	dimensional
axis	volume_reference_temperature_known	volume-reference-temperature-known	dimensional
