frankensim.matdb-source.v1
observation	c447-table67-lead	lead (elemental), NBS C447 Table 67 physical-property row	NBS Circular C447 Table 67, melting point on the international temperature scale and density at 20 C	Melting point printed as 327.4 plus-minus 0.1 deg C on the international temperature scale, converted at K = C + 273.15; density printed at 20 C in g/cm3 and converted at 1000 (kg/m3)/(g/cm3); the printed plus-minus 0.1 C is a scale statement without confidence semantics, so runtime uncertainty stays Unstated. Hardness rows from Table 28: Brinell 5.5 for die-cast chemical lead (serial 2632) and Vickers 4.5 for extruded refined-lead cable sheath (serial 2635); scales are TYPED in the property names and never converted; Brinell load is not stated in the table (named absence). Lead melting at 600.55 K is the extreme-regime doctrine anchor.
scalar	melting-point	c447-table67-lead	melting_point	600.55	K	constant
uncertainty	melting-point	unstated	-	-	-	-
validity	melting-point	temperature	294	294	K
scalar	density	c447-table67-lead	density	11340	kg/m3	constant
uncertainty	density	unstated	-	-	-	-
validity	density	temperature	293	293	K
scalar	hardness-brinell-die-cast	c447-table67-lead	hardness_brinell_die_cast	5.5	1	constant
uncertainty	hardness-brinell-die-cast	unstated	-	-	-	-
validity	hardness-brinell-die-cast	temperature	294	294	K
scalar	hardness-vickers-extruded	c447-table67-lead	hardness_vickers_extruded	4.5	1	constant
uncertainty	hardness-vickers-extruded	unstated	-	-	-	-
validity	hardness-vickers-extruded	temperature	294	294	K
