frankensim.matdb-source.v1
observation	supplier-minimum-purity	naca-tn-2680-2-2-4-trimethylpentane-minimum-99-6-molpct-supplier-and-lot-unspecified	Supplier minimum-purity statement retained by NACA TN 2680	The supplier claimed a minimum purity of 99.6 mole percent. The report does not identify the supplier, lot, analytical method, measured assay, impurity composition, storage history, or uncertainty, so the lower-bound statement is not promoted to an exact composition
scalar	supplier-minimum-purity	supplier-minimum-purity	minimum_reported_fuel_mole_fraction_purity	99.6	%	constant
uncertainty	supplier-minimum-purity	unstated	-	-	-	-
validity	supplier-minimum-purity	source_fuel_supplier_identity_known	0	0	1
validity	supplier-minimum-purity	source_fuel_lot_known	0	0	1
validity	supplier-minimum-purity	source_exact_assay_known	0	0	1
observation	table-i-experimental-maxima	naca-tn-2680-2-2-4-trimethylpentane-minimum-99-6-molpct-supplier-and-lot-unspecified	Schlieren photographs of atmospheric-pressure Bunsen-type flames reduced by the total-area method; experimental maximum-flame-speed rows transcribed from NACA TN 2680 Table I	The report states that each maximum occurred at an equivalence ratio between 1.0 and 1.1 but does not identify the exact maximizing ratio per row. The atmospheric pressure was an experiment-wide average of 744 mm mercury, transcribed here as 99.2 kPa at source-supported precision, not a per-row reading. The 0.210 oxygen-fraction runs used laboratory service air containing approximately 0.4 volume percent water; because the value is approximate it remains observation-only. Other oxygen-nitrogen mixtures were supplier analyzed to plus or minus 0.1 volume percent. Repeated rows at the same nominal condition remain separate observations-in-table claims. Raw photographs, row-level pressure, dispersion, confidence metadata, supplier, lot, exact assay, and impurity composition are absent. These are mixture-and-apparatus observations, not geometry-free bulk-material constants or a continuous flame-speed law
scalar	max-u-311-o210-r1000-d1256	table-i-experimental-maxima	maximum_laminar_flame_speed	34.6	cm/s	constant
uncertainty	max-u-311-o210-r1000-d1256	unstated	-	-	-	-
validity	max-u-311-o210-r1000-d1256	initial_mixture_temperature	311	311	K
validity	max-u-311-o210-r1000-d1256	oxygen_mole_fraction_in_oxygen_nitrogen	0.210	0.210	1
validity	max-u-311-o210-r1000-d1256	stream_flow_reynolds_number	1000	1000	1
validity	max-u-311-o210-r1000-d1256	burner_inside_diameter	1.256	1.256	cm
validity	max-u-311-o210-r1000-d1256	average_atmospheric_pressure	99.2	99.2	kPa
validity	max-u-311-o210-r1000-d1256	source_pressure_per_row_known	0	0	1
validity	max-u-311-o210-r1000-d1256	source_equivalence_ratio_at_maximum_exact_known	0	0	1
validity	max-u-311-o210-r1000-d1256	source_maximum_equivalence_ratio_lower_bound	1.0	1.0	1
validity	max-u-311-o210-r1000-d1256	source_maximum_equivalence_ratio_upper_bound	1.1	1.1	1
validity	max-u-311-o210-r1000-d1256	source_oxidizer_analysis_half_width_known	0	0	1
validity	max-u-311-o210-r1000-d1256	source_fuel_supplier_identity_known	0	0	1
validity	max-u-311-o210-r1000-d1256	source_fuel_lot_known	0	0	1
scalar	max-u-311-o250-r1000-d0838	table-i-experimental-maxima	maximum_laminar_flame_speed	52.1	cm/s	constant
uncertainty	max-u-311-o250-r1000-d0838	unstated	-	-	-	-
validity	max-u-311-o250-r1000-d0838	initial_mixture_temperature	311	311	K
validity	max-u-311-o250-r1000-d0838	oxygen_mole_fraction_in_oxygen_nitrogen	0.250	0.250	1
validity	max-u-311-o250-r1000-d0838	stream_flow_reynolds_number	1000	1000	1
validity	max-u-311-o250-r1000-d0838	burner_inside_diameter	0.838	0.838	cm
validity	max-u-311-o250-r1000-d0838	average_atmospheric_pressure	99.2	99.2	kPa
validity	max-u-311-o250-r1000-d0838	source_pressure_per_row_known	0	0	1
validity	max-u-311-o250-r1000-d0838	source_equivalence_ratio_at_maximum_exact_known	0	0	1
validity	max-u-311-o250-r1000-d0838	source_maximum_equivalence_ratio_lower_bound	1.0	1.0	1
validity	max-u-311-o250-r1000-d0838	source_maximum_equivalence_ratio_upper_bound	1.1	1.1	1
validity	max-u-311-o250-r1000-d0838	source_oxidizer_analysis_absolute_half_width	0.1	0.1	%
validity	max-u-311-o250-r1000-d0838	source_fuel_supplier_identity_known	0	0	1
validity	max-u-311-o250-r1000-d0838	source_fuel_lot_known	0	0	1
scalar	max-u-311-o294-r1600-d0838	table-i-experimental-maxima	maximum_laminar_flame_speed	72.2	cm/s	constant
