frankensim.matdb-source.v1
observation	mil5j-table-231oc1-4130	AISI 4130 low-alloy steel sheet, strip, plate, and tubing (AMS 6360/6373/6374, AMS-T-6736, AMS-S-18729), normalized and tempered, stress relieved, thickness at most 0.188 in	MIL-HDBK-5J Table 2.3.1.0(c1) design values, S basis; elongation from Table 2.3.1.0(d), condition N, sheet/strip/plate transverse (T), thickness band over 0.062 to 0.125 in inclusive	Room-temperature aerospace DESIGN values at S basis; the strength table prints NO grain-direction labels (values apply as printed); Fcy equals Fty as printed; the elongation row is the 0.062-0.125 in band minimum (thinner sheet is 8 percent, thicker bands rise to 18 — one band transcribed, the full ladder remains in the source); SI conversions at 6.894757 MPa/ksi and 27679.905 (kg/m3)/(lb/in3) applied to the printed 0.283 lb/in3; design values applicable only where the indicated Ftu is substantiated by adequate quality-control testing (table footnote b); elevated-temperature curves are graphs only (Figures 2.3.1.1.1-2.3.1.1.4, not digitized); uncertainty Unstated
scalar	tensile-ultimate	mil5j-table-231oc1-4130	tensile_ultimate_s_basis	655.0	MPa	constant
uncertainty	tensile-ultimate	unstated	-	-	-	-
validity	tensile-ultimate	temperature	294	294	K
scalar	tensile-yield	mil5j-table-231oc1-4130	tensile_yield_s_basis	517.11	MPa	constant
uncertainty	tensile-yield	unstated	-	-	-	-
validity	tensile-yield	temperature	294	294	K
scalar	compressive-yield	mil5j-table-231oc1-4130	compressive_yield_s_basis	517.11	MPa	constant
uncertainty	compressive-yield	unstated	-	-	-	-
validity	compressive-yield	temperature	294	294	K
scalar	shear-ultimate	mil5j-table-231oc1-4130	shear_ultimate_s_basis	393.0	MPa	constant
uncertainty	shear-ultimate	unstated	-	-	-	-
validity	shear-ultimate	temperature	294	294	K
scalar	elongation-t	mil5j-table-231oc1-4130	elongation_t_minimum	10	%	constant
uncertainty	elongation-t	unstated	-	-	-	-
validity	elongation-t	temperature	294	294	K
scalar	young-modulus	mil5j-table-231oc1-4130	young_modulus	199.95	GPa	constant
uncertainty	young-modulus	unstated	-	-	-	-
validity	young-modulus	temperature	294	294	K
scalar	compression-modulus	mil5j-table-231oc1-4130	compression_modulus	199.95	GPa	constant
uncertainty	compression-modulus	unstated	-	-	-	-
validity	compression-modulus	temperature	294	294	K
scalar	shear-modulus	mil5j-table-231oc1-4130	shear_modulus	75.84	GPa	constant
uncertainty	shear-modulus	unstated	-	-	-	-
validity	shear-modulus	temperature	294	294	K
scalar	poisson-ratio	mil5j-table-231oc1-4130	poisson_ratio	0.32	1	constant
uncertainty	poisson-ratio	unstated	-	-	-	-
validity	poisson-ratio	temperature	294	294	K
scalar	density	mil5j-table-231oc1-4130	density	7833.4	kg/m3	constant
uncertainty	density	unstated	-	-	-	-
validity	density	temperature	294	294	K
