# frankensim-radiation-load-v1	source_id=frankensim/bell-fixture/authored-8mm-60mm/v1	panels=480	driven=120	mouth_area_m2=1.118098275e-2	fingerprint=ab321a2b3f81d294	density=1.204000	sound_speed=343.000
# omega_rad_s	z_acoustic_re	z_acoustic_im	passivity_margin	panels_per_wavelength	mouth_ka	captured_fraction
9.424777961e2	2.463171321e2	-4.093255907e3	2.754068e0	180.659	0.1639	1.00000
1.281769803e3	4.538135801e2	-5.556031140e3	5.074082e0	132.838	0.2229	1.00000
1.621061809e3	7.224667282e2	-7.009913620e3	8.077888e0	105.034	0.2819	1.00000
1.960353816e3	1.051066730e3	-8.453712855e3	1.175196e1	86.855	0.3410	1.00000
2.299645822e3	1.438627009e3	-9.886839372e3	1.608526e1	74.041	0.4000	1.00000
2.638937829e3	1.884610405e3	-1.130924439e4	2.107180e1	64.521	0.4590	1.00000
2.978229836e3	5.297530720e3	-9.348221536e3	5.923160e1	57.171	0.5180	1.00000
3.317521842e3	5.718102263e3	-1.036993013e4	6.393400e1	51.324	0.5770	1.00000
3.656813849e3	6.172407580e3	-1.136554517e4	6.901358e1	46.562	0.6360	1.00000
3.996105855e3	6.660956751e3	-1.233520275e4	7.447604e1	42.608	0.6950	1.00000
4.335397862e3	7.184291905e3	-1.327916633e4	8.032744e1	39.274	0.7540	1.00000
4.674689869e3	7.743085509e3	-1.419769034e4	8.657531e1	36.423	0.8131	1.00000
5.013981875e3	8.338206150e3	-1.509090247e4	9.322934e1	33.958	0.8721	1.00000
5.353273882e3	8.970758428e3	-1.595869275e4	1.003019e2	31.806	0.9311	1.00000
5.692565888e3	9.642097586e3	-1.680060112e4	1.078081e2	29.910	0.9901	0.99999
6.031857895e3	1.035381447e4	-1.761569900e4	1.157658e2	28.228	1.0491	0.99998
6.371149901e3	1.110768344e4	-1.840246641e4	1.241948e2	26.725	1.1081	0.99996
6.710441908e3	1.190556582e4	-1.915867268e4	1.331159e2	25.373	1.1671	0.99992
7.049733915e3	1.274926453e4	-1.988127473e4	1.425493e2	24.152	1.2262	0.99985
7.389025921e3	1.364033225e4	-2.056635093e4	1.525123e2	23.043	1.2852	0.99974
7.728317928e3	1.457984347e4	-2.120908922e4	1.630170e2	22.032	1.3442	0.99955
8.067609934e3	1.556814959e4	-2.180384382e4	1.740672e2	21.105	1.4032	0.99925
8.406901941e3	1.660464248e4	-2.234426701e4	1.856562e2	20.253	1.4622	0.99880
8.746193948e3	1.768755379e4	-2.282351073e4	1.977642e2	19.468	1.5212	0.99812
9.085485954e3	1.881381330e4	-2.323448144e4	2.103569e2	18.741	1.5802	0.99714
