# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=60mm, diameter=98mm, material=Basotect (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
150	0.11290	0.01090
152	0.11571	0.01089
154	0.11825	0.01158
156	0.11995	0.01184
158	0.12160	0.01114
160	0.12334	0.00985
162	0.12476	0.00952
164	0.12667	0.00971
166	0.12776	0.00985
168	0.12916	0.00977
170	0.12999	0.00979
172	0.13150	0.00997
174	0.13369	0.01040
176	0.13522	0.01079
178	0.13812	0.01111
180	0.13997	0.01133
182	0.14234	0.01154
184	0.14526	0.01153
186	0.14883	0.01144
188	0.15184	0.01147
190	0.15453	0.01174
192	0.15697	0.01213
194	0.16018	0.01262
196	0.16294	0.01292
198	0.16620	0.01332
200	0.16817	0.01365
202	0.16962	0.01374
204	0.17079	0.01366
206	0.17221	0.01370
208	0.17373	0.01426
210	0.17558	0.01459
212	0.17893	0.01468
214	0.18203	0.01455
216	0.18636	0.01438
218	0.18974	0.01403
220	0.19378	0.01388
222	0.19698	0.01376
224	0.20088	0.01373
226	0.20428	0.01356
228	0.20760	0.01368
230	0.21068	0.01375
232	0.21347	0.01383
234	0.21693	0.01376
236	0.21982	0.01366
238	0.22286	0.01370
240	0.22571	0.01378
242	0.22899	0.01390
244	0.23280	0.01403
246	0.23604	0.01414
248	0.23990	0.01406
250	0.24353	0.01372
252	0.24674	0.01341
254	0.25034	0.01282
256	0.25419	0.01240
258	0.25759	0.01210
260	0.26128	0.01207
262	0.26538	0.01216
264	0.26922	0.01218
266	0.27286	0.01227
268	0.27639	0.01241
270	0.28040	0.01259
272	0.28406	0.01271
274	0.28751	0.01290
276	0.29086	0.01298
278	0.29473	0.01308
280	0.29870	0.01314
282	0.30223	0.01323
284	0.30608	0.01330
286	0.30981	0.01340
288	0.31326	0.01345
290	0.31738	0.01366
292	0.32092	0.01378
294	0.32431	0.01397
296	0.32822	0.01427
298	0.33177	0.01432
300	0.33578	0.01445
302	0.33955	0.01450
304	0.34258	0.01463
306	0.34648	0.01469
308	0.34995	0.01483
310	0.35347	0.01495
312	0.35710	0.01513
314	0.36036	0.01528
316	0.36378	0.01549
318	0.36698	0.01577
320	0.37020	0.01593
322	0.37374	0.01618
324	0.37710	0.01633
326	0.38082	0.01639
328	0.38469	0.01662
330	0.38803	0.01664
332	0.39187	0.01687
334	0.39574	0.01698
336	0.39943	0.01710
338	0.40340	0.01733
340	0.40681	0.01748
342	0.41008	0.01771
344	0.41364	0.01800
346	0.41704	0.01824
348	0.42065	0.01841
350	0.42414	0.01858
352	0.42758	0.01876
354	0.43110	0.01890
356	0.43466	0.01909
358	0.43810	0.01926
360	0.44157	0.01945
362	0.44514	0.01960
364	0.44843	0.01982
366	0.45210	0.01998
368	0.45523	0.02024
370	0.45875	0.02044
372	0.46212	0.02060
374	0.46537	0.02078
376	0.46887	0.02105
378	0.47222	0.02121
380	0.47574	0.02141
382	0.47900	0.02160
384	0.48239	0.02178
386	0.48558	0.02198
388	0.48905	0.02214
390	0.49230	0.02236
392	0.49557	0.02254
394	0.49907	0.02269
396	0.50216	0.02292
398	0.50519	0.02309
400	0.50874	0.02326
402	0.51181	0.02346
404	0.51498	0.02364
406	0.51808	0.02385
408	0.52131	0.02396
410	0.52400	0.02422
412	0.52778	0.02433
414	0.52992	0.02463
416	0.53427	0.02469
418	0.53583	0.02499
420	0.53929	0.02519
422	0.53544	0.02603
424	0.52525	0.02793
426	0.54032	0.02589
428	0.54755	0.02552
430	0.55195	0.02565
432	0.55602	0.02580
434	0.55973	0.02599
436	0.56229	0.02612
438	0.56586	0.02627
440	0.56893	0.02642
442	0.57183	0.02656
444	0.57468	0.02671
446	0.57778	0.02683
448	0.58064	0.02697
450	0.58373	0.02709
452	0.58649	0.02727
454	0.58930	0.02736
456	0.59214	0.02750
458	0.59497	0.02759
460	0.59762	0.02773
462	0.60066	0.02784
464	0.60346	0.02799
466	0.60606	0.02806
