# Derived from FOAM 02 (Zenodo record 18242697, CC-BY-4.0): Caiazzo, Kraxberger, Adams, Wurzinger, Boysen, Petrone, Schoder, De Rosa, Kaltenbacher, Adams, "FOAM 02: A dataset of impedance tube measurements with different materials and diameter variations", Acta Acustica 9 (50), 2025, doi:10.1051/aacus/2025033.
# Derivation: mean and population sd of the measured absorption coefficient over the 36 alphas.csv rows whose one-hot targets select thickness=50mm, diameter=98mm, material=Pinta Plano Polar (all 4 angles x 3 specimens x 3 repetitions); frequency axis 150..1600 Hz step 2 per the dataset Read_Me. No digitization; machine-readable data only.
freq_hz	alpha_mean	alpha_sd
150	0.12193	0.03999
152	0.12961	0.03783
154	0.12879	0.02864
156	0.12979	0.01605
158	0.12729	0.01664
160	0.12661	0.01042
162	0.13214	0.01021
164	0.13278	0.01151
166	0.13019	0.01420
168	0.13772	0.01842
170	0.13567	0.01557
172	0.13580	0.01084
174	0.13769	0.01282
176	0.13944	0.01046
178	0.14328	0.00862
180	0.14525	0.01181
182	0.14342	0.00925
184	0.14553	0.01084
186	0.14461	0.01082
188	0.14675	0.01016
190	0.14803	0.00925
192	0.14928	0.01004
194	0.15194	0.00883
196	0.15294	0.00877
198	0.15536	0.01006
200	0.15853	0.00962
202	0.15864	0.00771
204	0.15811	0.00970
206	0.15833	0.00994
208	0.16042	0.01206
210	0.16208	0.01070
212	0.16178	0.00914
214	0.16250	0.00947
216	0.16458	0.01049
218	0.16725	0.01067
220	0.16769	0.01131
222	0.16886	0.01073
224	0.17006	0.01027
226	0.17194	0.00849
228	0.17331	0.00720
230	0.17489	0.00666
232	0.17533	0.00595
234	0.17528	0.00622
236	0.17603	0.00679
238	0.17733	0.00593
240	0.17861	0.00652
242	0.17972	0.00756
244	0.18042	0.00899
246	0.18106	0.01001
248	0.18208	0.01179
250	0.18369	0.01236
252	0.18581	0.01295
254	0.18775	0.01383
256	0.19058	0.01407
258	0.19353	0.01416
260	0.19661	0.01373
262	0.20003	0.01309
264	0.20336	0.01276
266	0.20672	0.01230
268	0.20981	0.01183
270	0.21347	0.01128
272	0.21681	0.01037
274	0.22003	0.00955
276	0.22308	0.00898
278	0.22664	0.00840
280	0.22978	0.00769
282	0.23275	0.00718
284	0.23614	0.00657
286	0.23894	0.00616
288	0.24153	0.00598
290	0.24464	0.00572
292	0.24736	0.00537
294	0.24997	0.00511
296	0.25303	0.00504
298	0.25572	0.00488
300	0.25842	0.00466
302	0.26128	0.00457
304	0.26339	0.00464
306	0.26606	0.00453
308	0.26836	0.00450
310	0.27058	0.00442
312	0.27294	0.00456
314	0.27539	0.00453
316	0.27803	0.00472
318	0.28064	0.00493
320	0.28303	0.00521
322	0.28533	0.00541
324	0.28767	0.00560
326	0.29006	0.00578
328	0.29231	0.00618
330	0.29428	0.00617
332	0.29661	0.00647
334	0.29869	0.00655
336	0.30111	0.00681
338	0.30311	0.00717
340	0.30506	0.00727
342	0.30708	0.00731
344	0.30919	0.00749
346	0.31128	0.00773
348	0.31356	0.00780
350	0.31556	0.00807
352	0.31744	0.00828
